26	6 : 7 kerrotaan nostaneen silmänsä opetuslastensa puoleen ja sanoneen : autuaat te 	vaivaiset	 ; sillä teidän on Jumalan valtakunta .
419	Sen rinnalla Minä 	vaivainen	 oon mato matkamies maan kuulostaa hempeältä lasten pyhäkoululaululta .
444	Nähtyäni venäläisnaisten vaateparret tajusin , ketään edes ettei kiinnosta minun 	vaivaiset	 lumppuni .
533	Minä 	vaivainen	 oon mato matkamies maan
543	Minä 	vaivaisesta	 tulee helposti sinä vaivainen .
544	Minä vaivaisesta tulee helposti sinä 	vaivainen	 .
814	Pienempi autollinen meitä 	vaivaisia	 ja luopioita lähti ajoissa kotimatkalle .
914	Sotilaiden lähtöä rintamalle kannustetaan laulamalla Lapuan taisteluvirsi Minä 	vaivainen	 oon mato matkamies maan .
1106	Ehkä me 	selkävaivaiset	 odottelemme , miestä joka sanoisi : Ota vuoteesi ja kävele .
