331	Muhoksella on vielä ongelmia , sillä Hannu Seppä pystyi pelaamaan myös ulkona vain _taukoon_ asti ja muitakin 	jalkavaivaisia	 oli rivissä .
505	Passareiden tehokkaat hyökkääjät ovat tällä hetkellä jokseenkin 	jalkavaivaisia	 , _heistä_ eikä ollut joukkueensa pelastajaksi .
686		Vaivaisia	 on enemmän kuin terveitä .
