164	Ilman 	reisivaivaista	 kapellimestariaan _Jarmo Alatensiötä_ pelannut PPT jaksoi hangoitella kohtuullisen tasapäisesti Klubia vastaan puolisen tuntia , mutta Ismo Liuksen röyhkeä läpiajo ja varma sijoitus Tommi Koivistoisen selän taakse 27. minuutilla katkaisi porilaisten selkärangan .
167	Sarjan kärjessä jatkaa edelleen kahden pisteen erolla Panttereihin Helsingin NMKY , joka venyi vieraskentällä niukkaan 76- 75 voittoon Hongikosta , vaikka sen riveistä puuttuivat 	jalkavaivaiset	 _Herbert Crook_ ja Petri Niiranen .
178	Jokeriluotsi Boris Majorov joutui vetämään toiseen erään 	jalkavaivaisen	 _Janeckyn_ kaukaloon Mika Välilän tilalle .
180		selkävaivaisen	 Ari Heikkisen tilalla .
201	Espoon riemukkaan voiton takana oli ennen kaikkea Hiili , joka on torjunut 	umpisuolivaivaisen	 ykkösveräjänvartijan _Sami Aikään_ tilalla erinomaisesti .
204	Meillä on peruskouluikäisiä 	selkävaivaisia	 _ia_ osteoporoosiongelma kaatuu terveyskeskusten päälle .
210	Jaron takalinjoilta olivat poissa pelikiellossa ollut Kari Korkea-Aho ja 	jalkavaivainen	 _Krzysztof Gawara_ .
227	Kesällä , kun kaiken maailman ötököitä ja olioita on joka paikassa , yhteen 	vaivaiseen	 punkin _pistoon_ välttämättä ei suhtaudu kaikella asian vaatimalla vakavuudella .
228	Ei ulotu 	vaivaisen	 _vammaisen_ avunhuuto korskeiden ministerien korviin .
242	Tiedän , että Mikkelin kaupungin asianomaisilla perään katsojilla on nykyään suurempiakin murheita kuin 	vaivaisen	 _mattopesulan_ reistailevat koneet .
244	Ensimmäiset kaksi pussillista leluja sekä käsintehty puuauto ja puulaiva vaihtoivat omistajaa 	vaivaisella	 _kympillä_ .
252	Milloin 	selkävaivainen	 _Wayne Gretzky_ pelaa tuhannennen runkosaijapelinsä ; nyt niitä on koossa 999. Onko Eric Lindros todella se ihmemies , joka nostaa Philadelphia Flyersin lentoon ?
255	Hänen mukaansa siinä on kolme osatekijää : liikunta jo varhain emän mukana , ruokinta ja raitis ulkoilma . _ Yleensä vanhojen ja 	vaivaisten	 _tammojen_ varsat niin hyviä kuin nuorten ja terveiden , koska niiden emät eivät paljoa eivät liiku , eivätkä siis varsatkaan elämänsä tärkeinä ensikuukausina , selitti Airaksinen .
257	Edmonton oli ehtinyt kerätä yhden 	vaivaisen	 _pisteen_ neljässä ottelussa .
259	- Soita nyt sättimisen sijasta se yksi 62 centiimin puhelu , patistaa Jacqueline miestään , kun tämä on ilmaissut ärhäkän mielipiteensä sähkölaskun 	vaivaisista	 _centiimeistä_ .
261	Muista ei näytä olevan esimerkiksi 	jalkavaivaisen	 _Jari_
262	Paterin luotsi Reino Kosonen piti kentällä 	nilkkavaivaista	 _Jevgeni_ Shumovia kolme erää , vaikka vamma haittasi miehen verkkopeliä tuntuvasti .
266	Kovan tason miehistä olivat poissa Forssin tapaan kuumeinen Marko Nieminen , 	sormivaivainen	 _Kihlström_ sekä Jukka Heikkinen .
267	Los Angeles osaa pelata ja voittaa ilman 	selkävaivaista	 _Wayne Gretzkyäkin_ .
276	Toinen 	selkävaivainen	 _Mika Myllylä_ hiihti kuin rautakanki ja keskeytti 10 kilometrin kohdalla .
278		Selkävaivainen	 _Kirvesniemi_ jäi kärjestä yli kaksi minuuttia ja sijoittui seitsemänneksi .
282	Pateri olisi tarvinnut ehdottomasti 	jalkavaivaista	 _Markus_ Rautiota .
288	Keksijän tie on ollut ruumiillisestikin tuskainen Joutsassa , jossa 	selkävaivainen	 liikunnan lehtori _Esko Immonen_ on suunnitellut useita vuosia ja kehitellyt itselleen omatoimista selänhoitolaitetta .
290	Joukkue lahti otteluun ilman 	jalkavaivaista	 Mikko Mäkelää .
291	Seuraavassa ottelussa nyt poissa olleista Jiri Dolezal saattaa pelata , 	niskavaivainen	 _Ari_ Haanpää ei .
293	Vaikka sairaalatyö edelleenkin kuulostaa kutsumuksen kultaamalta ja on unohtuva häikäisevien hoito-oppien koristamaa , näyttää näissä sfääreissä edelleenkin 	vaivainen	 valittava _vanhus_ ja kumisaappaat yrjössä rientävä sisar hento .
297		Nilkkavaivainen	 _Anthony_ seurasi ottelua katsomosta , mutta ryntäsi kentälle ojentamaan Phoenixin Kevin Johnsonia .
298	- Tämän 	vaivaisen	 _Mikkelin-vierailun_ järjestäminen on vienyt minulta kaksi kertaa enemmän aikaa , vaivaa ja puhelinkuluja kuin Metropolitanin vierailu .
300	Pronssikaan ei jäänyt kuin 	vaivaisen	 _sekunnin_ taakse .
301	Ranskan veräjällä toijui Michel Valliere , sillä lievästi 	kylkivaivaista	 _Petri Ylöstä_ ei haluttu asettaa lisäloukkaantumiselle alttiiksi .
305	Joukkue pelasi ilman Super Mariota , 	selkävaivaista	 tähtipelaajaansa _Mario Lemieuxia_ .
311	Kuusysillä puuttui myös 	jalkavaivainen	 _Ismo Lius_ .
312		Jalkavaivaisen	 _Mauri_ Keskitalon tilalle puoliajan jälkeen kärjeksi tullut maalintekijä ei erehtynyt .
