PREDICATIVE	{'maajoukkuemies': 1, 'jalka': 1, 'useimmat': 1, 'Söderström': 1, 'kalliokoski': 1, 'lonkkavaivainen': 1, 'valmis': 1, 'suuri': 1, 'vaivainen': 1, 'molempi': 1, 'kaikki': 1, 'hän': 1, 'pikkuvaivainen': 1, 'joka': 2, 'maalintekijä': 1, 'Jussi Nuorela': 1, 'nivunenvaivainen': 1, 'autuas': 1, 'Kati Räsänen': 2, 'Hipo': 1}
ESS_ADVERBIAL	{'': 12, 'Here': 1, 'pitkänhuiskea': 1, 'hyvä': 1, 'ykkönenmaalivahti': 1, 'kakkoskoppari': 1, 'Jari': 1, 'ykkönensentteri': 1, 'kaksi': 1, 'Marttila': 1, 'libero': 1, 'kähärä': 1, 'kilpailunäyttö': 1, 'su': 1, 'vaihtopenkki': 1, 'Jukka Ripatti': 1, 'Jukka Mäkinen': 1, 'Linford Christie': 1, 'Herbert Crook': 1, 'hän': 3, 'passari': 1, 'Lusik': 1, 'ontua': 1, 'terho': 1, 'Gretzky': 1, 'Jarkko Partanen': 1, 'kärki': 1, 'tähtihakkuri': 1, 'Lemieux': 1, 'ori': 1, 'Luhtanen': 1, 'yhdeksän': 1, 'David Robinson': 1, 'possu': 1, 'TPS': 1, 'toinen': 2, 'se': 1, 'este': 1, 'Mika Lipponen': 1, 'Kaavi': 1, 'kapteeni': 2, 'Pitkänen': 1, 'paha': 1, 'Mikael Kajander': 1, 'tulokas': 1, 'Pete Sampras': 1, 'urakka': 1, 'joka': 3, 'siirtää': 1, 'Jukka Liikala': 1, 'Banking': 1, 'vastaanottospesialisti': 1, 'kanadalainen': 1, 'tulos': 2, 'annos': 1, 'Markus Lepistö': 1, 'seitsemän': 1, 'polvi': 1, 'puoluejohtaja': 1}
GEN_ATTRIBUTE	{'': 1, 'marjaselkä': 1, 'näköisi': 1, 'maa': 1, 'mieli': 1, 'legenda': 1, 'valtakunta': 1, 'auttaa': 1, 'harmi': 1, 'eläke': 1, 'asema': 1, 'aktivisti': 1, 'määrä': 1, 'kirja': 1, 'sijoitus': 1, 'ryhmä': 1, 'hartia': 1, 'kiijoissa': 1, 'hoitaa': 1}
COMPOUND_ATTRIBUTE	{'vaishoidon': 1, 'hoito-olo': 1, 'elo': 1, 'koivu': 16, 'huoltoajatus': 1, 'hoito-hallitus': 1, 'hoitotoiminta': 1, 'lampi': 1, 'hoitorasitus': 1, 'talo': 45, 'enluu': 15, 'ryhmä': 1, 'hoito-tarkastaja': 1, 'luuta': 1, 'tupa': 1, '-ja': 1, 'hoito-ohjesääntö': 2, 'kotiaika': 1, 'ukkojaja': 1, 'hoitolasäädäntö': 1, 'tukki': 1, 'taloajattelu': 1, 'hoito': 56, 'hoitojärjestelmä': 1, 'i': 4, 'apu': 7, 'taksa': 3, 'hoitoapu': 1, 'poikalito': 1, 'akka': 1, 'hoito-asia': 1, 'hoitovirkaomainen': 1, 'en-luu': 18, 'prosentti': 2, 'ukkonäyttely': 1, 'kassa': 6, 'mänty': 1, 'iva': 1, 'hoitoneuvoja': 1, 'hoitoasetus': 6, 'koti': 1, 'hoitokunta': 1, 'päästäinen': 1, 'hoitopoliittinen': 1, 'kollehdit': 1, 'ruotujärjestelmä': 1, 'salmi': 5, 'hoitohallitus': 1, 'hoitolainen': 3, '-hoito': 1, 'ohjesääntö': 1, 'poika': 1, 'ukkokausi': 1, 'kokous': 2, 'huone': 8, 'hoitohuone': 1, 'taloaika': 2, 'pöllöveistos': 1, 'hoitotarkastaja': 1, 'ukko': 51, 'hoitoasia': 1, 'uus': 9, 'hiiri': 1, 'hoito-kysymys': 1}
PRON_ATTRIBUTE	{'': 9}
ADVERBIAL	{'': 3, 'oire': 1, 'puna-juuri': 1, 'soutu': 1, 'nainen': 1, 'Pori': 1, 'sellainen': 1, 'kovaluonteinen': 1, 'osuus': 1, 'onnettomuus': 1, 'kumpikaan': 1, 'uinti': 1, 'lintu': 1, 'keskushyökkäjä': 1, 'anta': 1, 'kyseinen': 1, 'kehitysketju': 1, 'kirjo': 1, 'voitto': 1}
F_SUBJECT	{'voittaa': 1, 'pitää': 1, 'hoitaa': 1, 'ehtiä': 1, 'kiitää': 2, 'joutua': 1, 'ei': 1, 'kokea': 2, 'käypi': 1, 'kohdata': 1, 'sairastua': 1, 'jäädä': 2, 'voida': 1, 'sopia': 1}
OBJECT	{'sortaa': 1, 'löytyä': 1, 'kasvaa': 1, 'syödä': 1, 'joutua': 1, 'hyväksyä': 1, 'herjata': 1, 'perustaa': 1, 'tarvita': 2, 'kertoilla': 1, 'toimia': 1, 'Sirje Kiin': 1, 'päättää': 1, 'armahtaa': 1, 'täytyä': 1, 'herätä': 1, 'tuoda': 1}
NP_ATTRIBUTE	{'': 16, 'pinna': 1, 'Ville Hautala': 1, 'Tommi Sallinen': 1, 'jäljittely': 1, 'ruskailikin': 1, 'pisto': 1, 'mattopesula': 1, 'ia': 1, 'Glenn Lindquist': 1, 'kantaa': 1, 'Pentti': 1, 'Mario Lemieuxia': 1, 'tasapelipiste': 1, 'tuttava': 1, 'Kai Virtanen': 1, 'vitonen': 1, 'Petri Ylönen': 1, 'ja': 2, 'Juha Jyrkkiö': 1, 'tenniskenttä': 1, 'Keel': 1, 'äiti': 1, 'Rubinelda Henry-Serranon': 1, 'lapsilisä': 1, 'Robert Reichel': 1, 'selänne': 1, 'eläin': 1, 'Mika Strömberg': 1, 'Karppinen': 1, 'Wayne Gretzkyäkin': 1, 'Sini Tamminen': 1, 'paitsiomaali': 1, 'hallinta': 1, 'Jari': 1, 'Peter Ahola': 1, 'Stuttgart': 1, 'Timo': 1, 'Aleksandr Andrijevskia': 1, 'Ilkka Mäkelä': 1, 'lyöjätykki': 1, 'Timo Blomqvist': 1, 'lilliputti': 1, 'Markus': 1, 'Janne Oinonen': 1, 'Krzysztof Gawara': 1, 'Kinnunen': 1, 'Ari Hjelmiä': 1, 'tunti': 2, 'Petri Häkkinen': 1, 'miljoona': 1, 'Harri Vannin': 1, 'Herbert Crook': 1, 'Dufva': 1, 'keila': 2, 'Otakar Janecky': 1, 'Susanna Heikkilä': 1, 'Zein': 1, 'osanottaja': 1, 'korpi': 1, 'Guttorm': 1, 'Harri Vänni': 1, 'Henrik Kosonen': 7, 'katukauppias': 1, 'Jari Hartikainen': 1, 'Graf': 1, 'Joni Liuksen': 1, 'Aleksandr Gredjusko': 1, 'palkkio': 1, 'taistella': 1, 'Riitta Pitkänen': 1, 'vvatilla': 1, 'Ritva Valjakan': 1, 'saturainen': 1, 'Mika Lu-': 1, 'Sami Aikään': 1, 'Johan Östmanin': 1, 'I.': 1, 'Kimmo Tarkkion': 1, 'Tiina': 2, 'satalappunen': 1, 'suupala': 1, 'Väisänen': 1, 'Pekka Lipiäinen': 1, 'vammainen': 1, 'korkea': 1, 'Tikkanen': 1, 'Susanna Vanhanen': 1, 'Catharina Svenlin': 1, 'Lindström': 1, 'Lifländerin': 1, 'joukkue': 1, 'Hämäläinen': 1, 'Tuulikki Pyykkönenja': 1, 'Jari Taipale': 1, 'Kihlström': 1, 'Pasi Nenonen': 1, 'Stanislav Pochop': 1, 'Kankaanpää': 1, 'Juha Koskela': 1, 'Harri Liikanen': 1, 'Lasse Peltonen': 1, 'Sakari Lindfors': 2, 'Kubilay Turkyilmazin': 1, 'Ismo Lius': 2, 'ukkeli': 1, 'rukata': 1, 'Janne Räsänen': 1, 'Darko': 1, 'Erkki Aakko': 1, 'asiakas': 1, 'kirahvi': 1, 'tukki': 1, 'Seppänen': 2, 'terhi': 1, 'kirvesniemi': 1, 'maali': 2, 'hevonen': 2, "Sophie's Symphony": 1, 'Pekka Ilmivalta': 1, 'lemmikki': 1, 'polttopuu': 1, 'Marko Suoste': 1, 'Hannu': 1, 'mikkeli-vierailu': 1, 'Wahlman': 1, 'Saku Koivu': 1, 'Aki': 1, 'Frank de Boer': 1, 'MM-': 1, 'Harri Pöyry': 1, 'Merja Lahtinen': 1, 'Sami Laaksonen': 1, 'Riia': 1, 'metri': 1, 'Ako': 1, 'isä': 1, 'pylväspää': 1, 'Harri Huttunen': 1, 'Tommi Kovanen': 1, 'Kautonen': 1, 'kaari': 1, 'työntekijä': 1, 'Esa': 2, 'Marko Wahlmanilta': 1, 'Tuomas Sammelvuo': 1, 'Kylliäistä': 1, 'Tuomas Korpela': 1, 'prosentti': 2, 'prosenttiyksikkö': 1, 'kymppi': 1, 'Changin': 1, 'Cole': 1, 'tieura': 1, 'Gary Pallister': 1, 'vanhus': 2, 'Valeri Popovitsh': 1, 'Seppo Räty': 1, 'Aki Berg': 1, 'HNMKY:n': 1, 'Pasi Nurminen': 1, 'puoU': 1, 'ukkonen': 1, 'kähärä': 1, 'Simo Eerikäinen': 1, 'Mikaela Ingberg': 1, 'Valentin Kononej': 1, 'omena': 2, 'Jukka Marttila': 1, 'ripe': 2, 'puikko': 1, 'karhu': 1, 'Jani Hassinen': 1, 'Brett Hullin': 1, 'Janeckyn': 1, 'Ari': 2, 'Mika': 2, 'Heikki Kylliäinen': 1, 'Olli Nenonen': 2, 'Harri Nev': 1, 'matka': 1, 'Olli': 2, 'Gullit': 1, 'Myllylän': 1, 'kotijoukkue': 1, 'kuukausi': 1, 'Harri': 1, 'Darren Boyko': 1, 'Raimo Helminen': 1, 'syntinen': 1, 'Pasi Pirinen': 1, 'piste': 10, 'mies': 2, 'taskuraha': 1, 'Anthony': 1, 'matkamies': 1, 'Shumovia': 1, 'vireä': 1, 'Harri Hakkarainen': 2, 'Ingberg': 1, 'Fovvlkesin': 1, 'kuolonkalpea': 1, 'rupla': 1, 'Suomi': 1, 'Anders Eriksson': 1, 'nurmi': 1, 'Janne Moilanen': 1, 'Jani Lehtonen': 1, 'Wayne Gretzky': 1, 'osa': 1, 'Heidi Hannula': 1, 'Jarmo Alatensiötä': 1, 'Hannu Jäntti': 1, 'suolaraha': 1, 'Toni Koivunen': 1, 'Mika Myllylä': 1, 'Jari Litmanen': 3, 'Janne Ahonen': 1, 'Mikko Haapakoski': 1, 'Sampras': 1, 'vaimo': 1, 'juoksu': 1, 'Janne Pulkkinen': 1, 'pelaaja': 1, 'Esko Immonen': 1, 'Petri Kuusinen': 1, 'Peter Hoestra': 1, 'Havard Tveite': 1, 'centiimeistä': 1, 'Backley': 1, 'Arthur Numanin': 1, 'Hell Mantila': 1, 'Louise Laukko': 1, 'Mika Aaltonen': 1, 'potilas': 1, 'Gretzkystä': 1, 'Italia': 1, 'Jyrki': 2, 'kilo': 1, 'tulos': 2, 'Mauri': 1, 'Takon': 1, 'maili': 1, 'puu': 1, 'Vesa Kalpio': 1, 'markka': 2, 'sentti': 2, 'tamma': 1, 'sekunti': 11, 'Matti Valjakka': 1, 'Erik Holmgren': 1, 'ilme': 1, 'kitinä': 1, 'satanen': 4, 'tohmajärveläinen': 1, 'Pekka Markkanen': 1, 'Jyrki Lehto': 1, 'Olli Hartikainen': 3}
N_SUBJECT	{'': 1, 'käyttää': 1, 'palkata': 1, 'kokea': 1, 'tehdä': 1}
